SceneID,Name,Kind,MaxPlayer,MinLv,MaxLv,Effect
10701,Nhà tù,1,20,0,0,0
10801,Tiệm Net,1,20,0,0,0
10802,Tiệm Net,1,20,0,0,0
10803,Tiệm Net,2,20,0,0,0
10821,Nhà Riêng,1,20,0,0,0
10851,Làng tân thủ,1,20,0,0,0
10852,Làng tân thủ,1,20,0,0,0
10853,Làng Đa Vũ Trụ,1,20,0,0,0
10902,Tiệm Net,2,20,0,0,0
10954,Chiến Trường,1,20,0,0,0
10991,Lôi đài tỉ võ,1,20,0,0,0
10994,Lôi đài tỉ võ,1,20,0,0,0
10995,Thất Tịch Kiều,1,20,0,0,0
10996,Thất Tịch Kiều,1,20,0,0,0
10982,Động Quảng Hàn,1,20,0,0,0
10983,Động Quảng Hàn,1,20,0,0,0
10984,Động Quảng Hàn,1,20,0,0,0
10985,Động Quảng Hàn,1,20,0,0,0
11000,Thanh Châu,1,20,0,0,0
11001,Cửa thành Đông Quận,1,20,0,0,0
11002,Đường lớn Đông Quận,1,20,0,0,0
11003,Hầm mỏ Đông Quận,1,20,0,0,0
11011,Cửa thành Bắc Hải,1,20,0,0,0
11012,Đường lớn Bắc Hải,1,20,0,0,0
11013,Rừng Bắc Hải,1,20,0,0,0
11021,Làng Phùng Lai,1,20,0,0,0
11031,Cửa Thành Lâm Truy,1,20,0,0,0
11032,Đại Lộ Lâm Truy,1,20,0,0,0
11033,Đại Lộ Lâm Truy,1,20,0,0,0
11034,Đại Lộ Lâm Truy,1,20,0,0,0
11035,Ch.Trường Lâm Truy,0,500,0,0,0
11036,Ch.Trường Lâm Truy,0,500,0,0,0
11041,Cửa thành Lang Gia,1,20,0,0,0
11042,Đại lộ Lang Gia,1,20,0,0,0
11043,Đại lộ Lang Gia,1,20,0,0,0
11044,Đại lộ Lang Gia,1,20,0,0,0
11045,Ch.Trường Lang Gia,0,500,0,0,0
11101,Phú hộ Bắc Hải,1,20,0,0,0
11131,Thường hộ Đông Quận,1,20,0,0,0
11132,Thường hộ Bắc Hải,1,20,0,0,0
11133,Hộ thường Phùng Lai,1,20,0,0,0
11171,Bần hộ Đông Quận,1,20,0,0,0
11172,Bần hộ Bắc Hải,1,20,0,0,0
11173,Bần hộ Phùng Lai,1,20,0,0,0
11174,Nhà cỏ Phùng Lai,1,20,0,0,0
11201,Tiệm rèn Đông Quận,1,20,0,0,0
11202,Tiệm rèn Lâm Nghi,1,20,0,0,0
11203,Tiệm rèn Lang Gia,1,20,0,0,0
11221,Nhà thuốc Bắc hải,1,20,0,0,0
11222,Nhà thuốc Lâm Nghi,1,20,0,0,0
11223,Nhà thuốc Lang Gia,1,20,0,0,0
11241,Quán trọ Đông Quận,1,20,0,0,0
11242,Quán trọ Bắc Hải,1,20,0,0,0
11243,Quán trọ Lâm Nghi,1,20,0,0,0
11244,Quán trọ Lang Gia,1,20,0,0,0
11261,T.Trang Đông Quận,1,20,0,0,0
11262,Tiền trang Lâm Nghi,1,20,0,0,0
11263,Tiền trang Lang Gia,1,20,0,0,0
11264,Kho Lâm Nghi,1,20,0,0,0
11265,Kho Lang Gia,1,20,0,0,0
11301,Quan phủ Đông Quận,1,20,0,0,0
11302,Quan phủ Đông Quận,1,20,0,0,0
11303,Trướng Lâm Nghi,1,20,0,0,0
11304,Trướng Lâm Nghi,1,20,0,0,0
11305,Trướng Lang Gia,1,20,0,0,0
11306,Trướng Lang Gia,1,20,0,0,0
11307,Quan phủ Đông Quận,1,20,0,0,0
11401,Đình Mi Sơn,1,20,0,0,0
11411,Khổng Miếu,1,20,0,0,0
11421,Núi Lang Gia,1,20,0,0,0
11422,Núi Lang Gia,1,20,0,0,0
11423,Núi Lang Gia,1,20,0,0,0
11424,Núi Lang Gia,1,20,0,0,0
11431,Ngũ đại phu tùng,1,20,0,0,0
11432,Ngũ đại phu tùng,1,20,0,0,0
11501,Sơn động Thái Sơn,1,20,0,0,0
11502,Sơn động Thái Sơn,1,20,0,0,0
11503,Sơn động Thái Sơn,1,20,0,0,0
11504,Sơn động Thái Sơn,1,20,0,0,0
11505,Sơn động Thái Sơn,1,20,0,0,0
11506,Sơn động Thái Sơn,1,20,0,0,0
11507,Sơn động Thái Sơn,1,20,0,0,0
11508,Sơn động Thái Sơn,1,20,0,0,0
11509,Sơn động Thái Sơn,1,20,0,0,0
11512,Sơn động Thái Sơn,1,20,0,0,0
11513,Sơn động Thái Sơn,1,20,0,0,0
11514,Sơn động Thái Sơn,1,20,0,0,0
11515,Sơn động Thái Sơn,1,20,0,0,0
11516,Sơn động Thái Sơn,1,20,0,0,0
11517,Sơn động Thái Sơn,1,20,0,0,0
11518,Sơn động Thái Sơn,1,20,0,0,0
11519,Sơn động Thái Sơn,1,20,0,0,0
11520,Sơn động Thái Sơn,1,20,0,0,0
